hwd;pronSampa;ipa
grandad;g r\ { n d { d;gɹændæd
scratches;s k r\ { tS @ z;skɹæ?əz
roars;r\ O: r\ z;ɹOːɹz
penman;p E n m @ n;pɛnmən
demoted;d i m @U 4 i d;dimoʊɾid
hoechst's(2);h @U S t s;hoʊʃts
ponies;p @U n i: z;poʊniːz
dallara;d { l A r\ @;dælɑɹə
nostrand;n A s t r\ @ n d;nɑstɹənd
bottari;b @U t A r\ i:;boʊtɑɹiː
foment;f @U m E n t;foʊmɛnt
bartlett's;b A r\ t l @ t s;bɑɹtləts
orne;O: r\ n;Oːɹn
procuring;p r\ @U k j U r\ i N;pɹoʊkjʊɹiŋ
masculine;m { s k j @ l @ n;mæskjələn
pawlak;p O: l @ k;pOːlək
cankers;k { N k 3:r z;kæŋkɜ:rz
belle;b E l;bɛl
liege;l i: dZ;liː?
outside;aU t s aI d;?ts?d
counterespionage;k aU n t 3:r E s p i: @ n A dZ;k?ntɜ:rɛspiːənɑ?
gaston;g { s t @ n;gæstən
kiedrowski;k i: d r\ O: f s k i:;kiːdɹOːfskiː
mccurley;m @ k 3:r l i:;məkɜ:rliː
whip;w I p;wɪp
ragtime;r\ { g t aI m;ɹægt?m
beatrice's(2);b i: t r\ i s i z;biːtɹisiz
snodderly;s n A 4 3:r l i:;snɑɾɜ:rliː
channels;tS { n @ l z;?ænəlz
reinvigorating;r\ i: i n v I g 3:r eI 4 i N;ɹiːinvɪgɜ:r?ɾiŋ
shortening;S O: r\ t @ n i N;ʃOːɹtəniŋ
hoaglund;h @U g l @ n d;hoʊglənd
monger;m V N g 3:r;mʌŋgɜ:r
backbone;b { k b @U n;bækboʊn
meteors;m i: 4 i: 3:r z;miːɾiːɜ:rz
bourdeau;b U r\ d @U;bʊɹdoʊ
lotions;l @U S @ n z;loʊʃənz
maccabean;m { k @ b i: @ n;mækəbiːən
ecologically;i k @ l A dZ i k l i:;ikəlɑ?ikliː
matewan(2);m eI t w A n;m?twɑn
elsberry;E l z b E r\ i:;ɛlzbɛɹiː
oriordan;@U r\ I r\ d @ n;oʊɹɪɹdən
prevent;p r\ i v E n t;pɹivɛnt
dreman;d r\ i: m @ n;dɹiːmən
starch;s t A r\ tS;stɑɹ?
knuth;n u T;nuθ
pavey;p eI v i:;p?viː
placard;p l { k 3:r d;plækɜ:rd
stockinger;s t A k i N 3:r;stɑkiŋɜ:r
shipps;S I p s;ʃɪps
hladik(2);h @ l { 4 i k;həlæɾik
cultist;k V l t @ s t;kʌltəst
primavera;p r\ i: m A v E r\ @;pɹiːmɑvɛɹə
stecklein;s t E k l aI n;stɛkl?n
