,nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,motVedette
0,3,aʹbăcus,,,,n.,2.0,19,abacus
1,2,ăbăʹft,,,,p.,3.0,19,abaft
2,3,ăbaiʹſănce,F.,,,n.,4.0,19,abaisance
3,3,ābăʹndon,F.,,,v.,5.0,19,abandon
4,4,ābăʹndŏned,,,,a.,6.0,19,abandoned
5,2,ăbāsʹe,F.,,,v.,7.0,19,abase
6,3,ăbāʹſ_e_ment,F.,,,n.,8.0,19,abasement
7,2,ăbăʹſh,F.,,,v.,9.0,19,abash
8,2,ăbāʹte,F.,,,v.,10.0,19,abate
9,3,ăbāʹt_e_ment,F.,,,n.,11.0,19,abatement
10,2,ăʹbbĕſs,,,,n.,12.0,19,abbess
11,2,ăʹbbey,,,,n.,13.0,19,abbey
12,2,ăʹbbŏt,,,,n.,14.0,19,abbot
13,4,ăbbrĕʹvĭāte,L.,,,v.,15.0,19,abbreviate
14,6,ăbbrevĭāʹtion,L.,,,n.,16.0,19,abbreviation
15,3,ăʹbdicāte,L.,,,v.,17.0,19,abdicate
16,3,ăbdōʹmen,,,,n.,18.0,19,abdomen
17,2,ăbĕʹt,,,,v.,19.0,19,abet
18,3,ăbĕʹtment,,,,n.,20.0,19,abetment
19,3,ăbĕʹttor,,,,n.,21.0,19,abettor
20,3,ăbeʹyănce,F.,,,n.,22.0,19,abeyance
21,2,ăbhŏʹr,L.,,,v.,23.0,19,abhor
22,3,ăbhŏʹrrence,,,,n.,24.0,19,abhorrence
23,2,ābīʹde,,,,v.,25.0,19,abide
24,2,ăʹbject,L.,,,a.,26.0,19,abject
25,4,abĭʹlĭty,,,,n.,27.0,19,ability
26,4,ăbĭntĕʹſtāte,,,,n.,28.0,19,abintestate
27,5,ăbjūrāʹtion,L.,,,n.,29.0,19,abjuration
28,2,ăbjūʹre,L.,,,v.,30.0,19,abjure
29,4,ăblāʹtion,L.,,,n.,31.0,19,ablation
30,3,ăʹblătive,L.,,,n.,32.0,19,ablative
31,3,ăʹblĕpſy,G.,,,n.,33.0,19,ablepsy
32,4,ăblūʹtion,L.,,,n.,34.0,19,ablution
33,5,ăbnegātion,L.,nbSyll>1 et pas d'accent tonic,,n.,35.0,19,abnegation
34,2,ăʹboard,,,,p.,36.0,19,aboard
35,2,ābōʹde,,,,n.,37.0,19,abode
36,3,ăbŏʹlĭſh,L.,,,v.,2.0,20,abolish
37,4,ăbŏʹmĭnāte,L.,,,v.,3.0,20,abominate
38,6,ăbŏʹmĭnāʹtion,L.,,,n.,4.0,20,abomination
39,4,ăborīʹgĭnes,L.,,,n.,5.0,20,aborigines
40,4,ăbŏʹrtion,L.,,,n.,6.0,20,abortion
41,3,ăbŏʹrtive,,,,a.,7.0,20,abortive
42,2,ăbȯu̇ʹnd,,,,v.,8.0,20,abouond
43,2,abrĭʹdge,F.,,,v.,9.0,20,abridge
44,3,abrĭʹdgment,F.,,,n.,10.0,20,abridgment
45,2,abroaʹd,,,,a.,11.0,20,abroad
46,3,ăʹbrŏgāte,L.,,,v.,12.0,20,abrogate
47,2,ăbrŭpt,L.,nbSyll>1 et pas d'accent tonic,,a.,13.0,20,abrupt
48,2,ăʹbſcĕſs,L.,,,n.,14.0,20,abscess
49,2,ăbſcŏʹnd,L.,,,v.,15.0,20,abscond
50,2,ăʹbſĕnt,L.,,,v.,16.0,20,absent
51,3,ăbſĕnteeʹ,L.,,,n.,17.0,20,absentee
52,2,ăbſŏʹlve,L.,,,v.,18.0,20,absolve
53,3,ăʹbſŏlūte,L.,,,a.,19.0,20,absolute
54,5,ăbſŏlūʹtion,L.,,,n.,20.0,20,absolution
